player_id,player_name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,dom
00-0034279,Equanimeous St. Brown,WR,2023,0,0,0.0,0,0.0,0,0.0,0,5,6,62.0,0,6.2,11.2,0.04411764705882353,0.04453781512605042,0.10180672268907563,0.028284671532846715
00-0034286,Richie James,WR,2022,0,0,0.0,0,0.0,2,6.0,0,57,70,569.0,4,81.5,138.5,0.16203703703703703,0.1824372759856631,0.38900537634408605,0.24130004943153732
00-0034286,Richie James,WR,2023,0,0,0.0,0,0.0,0,0.0,0,10,14,114.0,0,11.4,21.400000000000002,0.04697986577181208,0.06810982048574446,0.1249576550463137,0.02899287894201424
00-0034297,Byron Pringle,WR,2022,0,0,0.0,0,0.0,0,0.0,0,10,16,135.0,2,25.5,35.5,0.0903954802259887,0.14441591784338895,0.25112595461369425,0.1618698441796517
00-0034297,Byron Pringle,WR,2023,0,0,0.0,0,0.0,0,0.0,0,14,22,161.0,0,16.1,30.1,0.043824701195219126,0.07890541976620616,0.12886138760579363,0.02390852390852391
00-0034301,Darrel Williams,RB,2022,0,0,0.0,0,0.0,21,102.0,1,4,8,9.0,0,17.1,21.1,0.035555555555555556,-0.01764705882352941,0.0392156862745098,0.0032751091703056767
00-0034317,Keith Kirkwood,WR,2022,0,0,0.0,0,0.0,0,0.0,0,2,4,18.0,0,1.8,3.8000000000000003,0.05263157894736842,0.09136212624584718,0.15203706941773037,0.018789144050104383
00-0034317,Keith Kirkwood,WR,2023,0,0,0.0,0,0.0,0,0.0,0,5,9,37.0,1,9.7,14.700000000000001,0.0379746835443038,0.04377104377104377,0.09197886033329072,0.06045788581119277
00-0034335,Marcus Allen,LB,2022,0,0,0.0,0,0.0,1,4.0,0,0,0,0.0,0,0.4,0.4,0.0,0.0,0.0,0.0
00-0034348,Courtland Sutton,WR,2022,0,0,0.0,0,0.0,1,5.0,0,64,109,829.0,2,95.4,159.4,0.21756487025948104,0.288755106428725,0.5573513905322016,0.19378239465637268
00-0034348,Courtland Sutton,WR,2023,0,0,0.0,0,0.0,0,0.0,0,59,90,772.0,10,131.2,190.20000000000002,0.18711018711018712,0.30182232346241455,0.5221231394352124,0.30068488596316245
00-0034348,Courtland Sutton,WR,2024,2,2,30.0,1,0.0,0,0.0,0,81,135,1081.0,8,159.3,240.3,0.24816176470588236,0.4503528225806452,0.7325249051233398,0.28165934870106113
