,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
1640,Nate Adkins,TE,2024,43.5,0.0,0,0.0,0.0,0,14,15,115.0,3,0.0378787878787878,0.0211748633879781,0.0737580725285643,0.0805871822413175
1641,Jaleel McLaughlin,RB,2023,106.0,0.0,0,0.0,410.0,1,31,36,160.0,2,0.0701754385964912,-0.0372935535428875,0.0754283150604267,0.0581483855460299
1642,Jaleel McLaughlin,RB,2024,97.2,0.0,0,0.0,496.0,1,24,27,76.0,2,0.0509433962264151,-0.0271617243957139,0.0546857148230515,0.0464336087044126
1643,Emanuel Wilson,RB,2023,14.8,0.0,0,0.0,85.0,0,4,5,23.0,0,0.029940119760479,-0.0028571428571428,0.0426244653550042,0.0099653379549393
1644,Emanuel Wilson,RB,2024,96.0,0.0,0,0.0,502.0,4,11,14,48.0,1,0.0292275574112734,-0.0150465727251015,0.031804077936829,0.0239500598411489
1645,Ben Sims,TE,2023,12.1,0.0,0,0.0,0.0,0,4,6,21.0,1,0.0295566502463054,0.0183150183150183,0.0589869900214727,0.0455179900744416
1646,Ben Sims,TE,2024,8.200000000000001,0.0,0,0.0,0.0,0,4,5,42.0,0,0.0446428571428571,0.041407867494824,0.1000905797101449,0.0224358974358974
1647,Rakim Jarrett,WR,2023,10.0,0.0,0,0.0,0.0,0,4,9,60.0,0,0.0391304347826087,0.0823665893271461,0.12458892363563,0.0200803212851405
1648,Rakim Jarrett,WR,2024,21.4,0.0,0,0.0,0.0,0,9,11,124.0,0,0.0511627906976744,0.0822538860103627,0.1425472948548017,0.0387016229712858
1649,Ryan Miller,WR,2024,36.8,0.0,0,0.0,0.0,0,12,20,128.0,2,0.0719424460431654,0.0967741935483871,0.1853330239034578,0.0765129528109212
1650,Brycen Tremayne,WR,2024,0.8,0.0,0,0.0,0.0,0,1,1,-2.0,0,0.0357142857142857,-0.0064724919093851,0.0483934350439204,-0.0042372881355932
1651,Elijah Dotson,RB,2023,3.9,0.0,0,0.0,6.0,0,2,2,13.0,0,0.048780487804878,-0.0022675736961451,0.0713566727504009,0.021311475409836
1652,Shedrick Jackson,WR,2023,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0.032258064516129,0.1209677419354838,0.1451612903225806,0.0
1653,Malik Cunningham,QB,2023,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1654,John Shenker,TE,2024,1.7000000000000002,0.0,0,0.0,0.0,0,1,1,7.0,0,0.0333333333333333,0.0289855072463768,0.0731884057971014,0.0167464114832535
1655,Dalton Kincaid,TE,2023,150.3,0.0,0,0.0,0.0,0,73,91,673.0,2,0.1657559198542805,0.1130727196300966,0.3390920554854981,0.118376171675664
1656,Dalton Kincaid,TE,2024,100.8,0.0,0,0.0,0.0,0,44,75,448.0,2,0.1908396946564885,0.1804724409448818,0.4306374947406384,0.116848716159444
1657,Brenton Strange,TE,2023,14.499999999999998,0.0,0,0.0,0.0,0,5,9,35.0,1,0.0545454545454545,0.0570469798657718,0.1274557657107992,0.1401909722222222
1658,Brenton Strange,TE,2024,91.1,0.0,0,0.0,0.0,0,40,53,411.0,2,0.1118143459915611,0.0855494229804315,0.236161057371687,0.1231830658978279
